"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,128,"LBY","Libya",1,"Ajdabiya","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Aghdabiya"
2,128,"LBY","Libya",2,"Al Butnan","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Tobruk|Tubruq"
3,128,"LBY","Libya",3,"Al Hizam Al Akhdar","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"al-Hizam al-Ahdar"
4,128,"LBY","Libya",4,"Al Jabal al Akhdar","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al Bayda'|al-Ghabal al-Ahdar|Beida|Djebel Akhdar|Jebel el Akhdar"
5,128,"LBY","Libya",5,"Al Jifarah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al Jfara|Al `Aziziyah|al-Ghifara|Al `Aziziyah"
6,128,"LBY","Libya",6,"Al Jufrah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"al-Ghufra"
7,128,"LBY","Libya",7,"Al Kufrah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"al-Kufra"
8,128,"LBY","Libya",8,"Al Marj","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al' Fatih, al-Margh"
9,128,"LBY","Libya",9,"Al Marqab","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al Murgub|Al Khums|Homs|Khoms"
10,128,"LBY","Libya",10,"Al Qubbah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al Qubah|al-Qubba"
11,128,"LBY","Libya",11,"Al Wahah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al Wahat"
12,128,"LBY","Libya",12,"An Nuqat al Khams","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"an-Niqat al-Hams|Nigat al Khums"
13,128,"LBY","Libya",13,"Ash Shati'","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Wadi Al Shatii|Shati|Wadi ash-Shati'"
14,128,"LBY","Libya",14,"Az Zawiyah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"az-Zawiya|Zavia|Zawia"
15,128,"LBY","Libya",15,"Bani Walid","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Sawfajjin"
16,128,"LBY","Libya",16,"Benghazi","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Banghazi|Bengasi"
17,128,"LBY","Libya",17,"Darnah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Darana|Darna|Derna"
18,128,"LBY","Libya",18,"Ghadamis","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Gadamis|Ghadames"
19,128,"LBY","Libya",19,"Gharyan","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Al Jabal al Gharbi, Garyan, Gharian, Jabal al Gharb, Jebel el Gharb"
20,128,"LBY","Libya",20,"Ghat","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Gat"
21,128,"LBY","Libya",21,"Misratah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Misrata, Misurata"
22,128,"LBY","Libya",22,"Mizdah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Mizda"
23,128,"LBY","Libya",23,"Murzuq","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,NA
24,128,"LBY","Libya",24,"Nalut","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,NA
25,128,"LBY","Libya",25,"Sabha","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Sabhah, Sebha"
26,128,"LBY","Libya",26,"Sabratah Surman","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Sabratha Wa Surman|Sabrata wa-Surman"
27,128,"LBY","Libya",27,"Surt","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Sirte"
28,128,"LBY","Libya",28,"Tajura' wa an Nawahi al Arba","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Taghura' wa-n-Nawahi al-Arba"
29,128,"LBY","Libya",29,"Tarabulus","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Tripoli|Tripolis"
30,128,"LBY","Libya",30,"Tarhunah-Masallatah","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Tarhunah|Tarhuna wa-Masallata"
31,128,"LBY","Libya",31,"Wadi Al Hayat","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Wadi Al Hayaa"
32,128,"LBY","Libya",32,"Yafran-Jadu","Sha'biyat|Sha'biyah","Municipality|Governarate",NA,"Yafran"
