y,x
41536,25366
10644,34967
67086,45310
44052,39356
39632,52151
40326,38474
52087,4625
43302,7894
27504,41301
32517,28051
9604,37340
45804,37782
22342,37371
20265,18820
29106,22811
10894,29445
59360,37337
63016,29139
11345,62990
51757,56566
15168,48297
6754,11992
2036,19001
16563,51207
31983,13076
55518,9856
14301,1484
35624,63554
63446,4114
39515,25017
63545,9155
29723,10654
17692,27553
42831,51838
56870,24599
61868,279
6446,53898
51078,25811
28839,21847
44162,4533
45933,35920
28728,56563
27392,55075
11511,19854
16863,7174
43815,2203
27179,14025
55169,3382
4027,36055
32257,289
64915,24472
27519,42916
16904,43898
38190,21990
12027,28746
13176,44147
43281,24288
39728,46205
25750,60956
53010,55668
55041,63200
29023,54322
62575,2677
17033,33901
25849,7521
4690,44970
37034,42485
44571,45799
22916,62963
45731,13824
35364,9022
31752,23317
11015,24834
35244,41287
20313,54481
1439,48119
26657,6130
34891,22180
65976,60751
46277,32334
48236,8984
60448,7064
43660,45294
804,11832
66696,31835
50459,1440
29619,28328
36683,41282
36429,44924
18976,15863
51477,15357
21872,39620
19299,344
45395,25568
6283,31079
16511,9538
12963,4047
38980,28527
55187,63450
21918,4609
27021,30444
60423,9848
1336,36491
56796,20698
42555,3751
40554,37923
39343,64105
37950,6810
30821,30891
56135,8157
3827,40864
4898,35818
18188,42119
2628,46332
53866,10105
26207,15629
220,40839
29000,57289
23096,22350
31956,2018
62765,19280
37450,4310
23252,1336
2323,51166
38571,19050
1673,52534
2559,50005
57970,32135
3495,64275
59771,20317
52731,13492
44826,26051
1152,1104
66515,42226
22579,37021
26662,29093
23742,33378
30354,45639
3570,59229
6717,35346
15988,45006
5968,57406
4179,47694
63283,64950
38367,16029
61298,61087
37220,11284
57767,9712
47647,3577
36414,46035
22006,36277
38966,63852
8763,52210
43630,21987
21973,60945
60703,50566
36825,51869
45803,31728
33467,3560
39844,59383
41389,30066
40513,33014
14418,39457
43019,64513
7820,55477
26507,52311
20037,7711
9780,52682
58485,51059
44443,35545
18285,30890
38386,9523
7856,45448
2538,37831
4506,7068
19429,32105
32965,21991
61778,1281
23807,16199
66784,64735
23978,13440
28127,42748
34167,33644
23873,8273
65464,56391
63604,54187
50715,26287
20418,66601
5093,34572
61745,62944
45551,35459
52124,33619
21866,47280
31025,42844
43123,5995
21096,8611
11849,43449
39271,28484
42772,43330
34780,44008
6883,32900
36088,43674
16962,18101
63724,62017
40479,2500
56474,50817
32160,66171
55708,57303
362,39943
31333,33657
64752,38779
66036,57284
27909,40996
6689,37041
55294,11983
25593,17606
9819,41686
26666,19976
50571,26666
21819,11883
41326,14103
35509,14781
55345,38946
59064,43219
8365,8980
60548,54265
37964,1686
34894,45886
35192,36243
40437,49466
35030,43316
22800,50462
6582,56523
43464,39857
28122,56045
63189,22730
37195,65733
20972,5280
28809,40813
15782,60957
59375,12798
33676,57477
29648,59435
51092,57776
42123,14283
29901,18759
19843,64261
18682,50055
31319,56334
44911,37192
64396,2109
15351,65880
23379,2967
5616,20257
24026,38349
22627,66136
45137,42032
61718,54430
11349,34747
27708,44686
10946,33111
22730,64675
58533,16572
50166,3873
44222,53205
44359,38769
3427,39264
58332,33837
17621,41851
26391,10669
23872,12512
65362,14567
60813,18920
5420,17496
8342,43470
52548,53684
61148,59597
38130,47437
45398,36139
19631,59875
15294,60058
65156,1763
63538,32388
13653,67199
59106,6772
36627,54065
66604,12435
50389,26490
1475,32492
22732,33507
29183,46487
49883,66937
16893,47395
47657,40375
55647,1838
3057,26187
42335,3861
49254,50503
65198,7471
44190,4948
2945,20574
28894,47872
47010,3037
31677,47738
16649,58011
12636,64002
14532,30349
24100,33840
65825,35153
25212,63370
39126,51858
61504,27414
59959,13310
15247,8838
20555,15714
40781,3262
44714,2441
21292,20084
4437,19503
30877,45748
17991,10058
24232,42166
20161,4162
617,42850
18070,13229
9214,19716
21609,24117
41560,53817
12367,50786
28539,61768
8492,62570
54715,11780
41191,22935
30945,30638
2736,64526
17872,6963
747,65541
885,9580
3808,14629
61422,66473
61110,67352
35238,26554
60116,49996
36771,63369
47546,50932
58648,6260
5168,52963
36599,54231
4462,18302
30205,32166
3033,44221
33275,56883
37905,26255
2555,8950
13423,1983
49983,37588
9584,46141
50150,42017
31785,13664
16202,4653
41953,25061
21723,11309
6809,65429
13350,25198
56481,9816
64386,59039
41343,50912
43989,32339
52786,61971
17490,51881
10463,41635
16768,18763
31725,29748
15333,61913
6609,33130
57087,63400
65339,66020
19749,12142
7436,53649
33049,34230
17967,24905
66734,7151
18701,47716
55580,36627
7480,50986
27859,26853
44686,13164
7694,45599
15445,16432
38393,65440
14208,60719
28393,21677
8813,52541
45752,16333
9408,47691
36130,59410
53553,35699
6540,42633
62019,24505
25334,2544
41659,64343
57734,29821
9306,42330
7968,16217
24824,6502
2395,58202
19781,59900
27042,44075
47901,33079
23233,7470
52671,10223
23172,34022
29744,7754
45896,50889
19219,32640
47501,44673
26163,14677
19086,51663
3312,22417
29882,39903
52934,20197
10650,2052
12299,48844
45236,35540
263,20570
37076,50827
42311,52250
44817,25854
51948,37569
4875,49934
55878,46503
8509,50551
62916,29462
52955,38507
38837,4120
63516,51722
47169,24294
49644,32813
47856,22100
44288,41656
45046,61583
44964,48370
18651,66122
38405,21246
4516,13206
59823,3704
67110,28420
55248,70
2479,24642
13986,19311
50711,56922
8960,25384
54094,36699
47912,9142
6504,13410
44734,36235
43516,61370
4338,21361
9285,32476
47447,10855
64669,7041
58236,58139
52496,64285
22716,2916
39871,2388
36489,63781
59526,37078
20836,29789
60792,16174
26648,61399
28849,26921
25092,13991
36963,36518
61888,57351
30204,56638
22667,3279
56309,63617
47034,43010
11907,42469
22653,36748
20765,43271
58402,33114
48923,14270
28586,21511
61396,165
54518,37704
4670,36512
62966,52525
25986,31864
62621,23550
57380,52746
28812,52745
56606,37365
36501,2975
14102,4658
38919,15935
25329,50673
20466,447
51555,30134
36956,34485
43844,16181
59220,11413
13236,10835
38790,39485
34658,39310
6526,20510
38903,66506
59276,435
13542,44223
6058,37384
10486,36592
59657,7093
15436,30140
57267,36497
16678,26257
20430,65509
64406,5703
6885,48778
48649,50570
59299,59588
34518,50316
55186,13043
10195,43702
48939,28583
44600,41548
27743,39564
10633,10234
52687,38515
24195,14765
49446,36851
62841,34385
32283,58024
63322,15371
51384,4701
13891,37138
2737,32213
37870,33162
34182,67383
59608,24360
28779,514
66834,34923
21860,36102
11360,50556
36795,52567
50446,39198
44913,8200
63402,46284
47623,277
57652,12856
20917,46175
60330,4171
23259,44292
20025,2732
65996,17916
14779,835
46411,41512
23116,22901
38675,39475
2372,51074
6611,42652
63586,23188
39748,63656
22067,27550
6288,59769
32928,19116
46437,15912
50462,46029
45735,67093
33739,39463
39908,25865
37401,65451
30736,25629
30707,34458
64440,11451
27102,49753
22077,45170
35112,55252
58334,26647
6592,22336
32447,23180
36180,51995
13706,40113
35741,56390
52151,54602
64203,42291
23193,67034
6480,34494
50063,11198
50960,41253
60300,19396
34424,50029
58218,10659
36709,59466
21916,28706
35312,25435
27904,9598
65915,1636
24186,47580
61261,42221
27867,15013
51632,61986
6513,58592
11292,30221
63314,35466
5821,47489
62540,36538
32190,56408
26389,26097
50837,24024
5312,53043
23146,36834
13348,25686
3552,268
22435,19663
12884,21434
10713,33701
66870,48001
56760,57251
12679,22769
53657,66330
17500,1740
65896,42408
11153,41141
26613,50132
50606,1512
4113,3434
17540,27113
6296,45421
30309,57976
59931,20431
44330,26660
31933,58729
920,21700
19438,50126
47408,21089
29716,3202
16684,52366
46054,7108
9451,2650
18073,53348
42718,14744
11210,49245
24276,42772
22170,43151
10038,15432
4251,17321
34350,14541
1454,13777
4697,38399
60958,17636
64288,27638
7326,28577
17890,3572
20320,40334
52001,36092
58990,59614
41546,52284
35974,51172
53484,5645
53735,31859
51669,53006
6383,7747
3447,10864
55167,36577
25324,6037
3267,26354
61128,46964
1743,4643
56526,14580
49477,47068
20465,36193
8251,1806
57979,15844
63606,3517
59933,47858
67174,30838
51353,30263
51654,38660
5367,21506
63618,47992
28105,42890
47818,49057
40372,26753
62611,20527
64959,29013
50357,61716
66379,36239
11704,54423
44526,26283
35639,7190
19866,54432
55129,35932
49714,43729
2152,53995
44134,58979
23979,48692
59991,34090
51370,64757
18856,55228
12077,2009
35986,12671
35048,35234
50873,31492
59165,25258
4513,26730
38407,19616
31698,43979
8580,242
40363,16475
58831,22080
24949,14577
39648,26643
10380,20303
32403,5494
1451,4076
18340,48074
10165,50031
30302,11939
36598,7953
47372,17219
8152,46185
4853,59020
59923,49363
37416,31139
14475,30300
65730,52410
11180,38689
56416,18851
29594,125
22817,54499
2151,43114
25806,39195
25031,18141
14143,39484
24373,33892
17679,418
14300,26995
55652,18492
9057,24615
42320,31129
17947,43871
59023,14361
60646,10547
2635,21594
64963,22626
25601,48018
31858,8440
33794,50655
27639,32893
44961,6131
1528,52371
26302,64944
48346,31670
9786,62785
3522,9701
27782,23167
59428,31324
7525,25437
24455,46778
31107,10473
21731,31760
37484,46664
22064,37227
47640,58400
46845,10417
62738,46960
34788,46624
27829,52658
7053,67304
31732,61563
41411,21376
3816,32684
24621,14248
2518,178
48417,15985
443,25421
3727,21759
17232,21309
26589,61101
47738,57962
15605,52264
66408,39534
18035,50089
9004,64959
11793,6821
26398,38695
27957,39443
16584,40320
23570,24025
12199,24722
63713,2455
20234,46703
8445,53354
47030,13934
11882,12751
852,4619
34751,52315
37955,22306
15342,28446
40623,58913
12610,42805
1689,22334
11299,27740
28984,3215
26791,29024
12465,35736
59208,24856
42086,66978
28353,58351
33012,42393
23376,34948
13934,51918
55231,14125
51443,33794
24490,30064
62449,30205
9543,27527
33168,54504
30903,57730
39779,42949
20281,3765
37787,45418
30765,33824
22903,45450
14636,65035
16660,60139
23754,50025
64772,40039
43238,39756
22315,66759
35294,21618
31832,34829
59094,1331
66662,54278
44217,6794
45259,30982
25273,38539
29924,17312
12671,48032
19255,26050
6284,43120
6290,33016
61585,1441
32260,7884
45836,52514
19742,22864
41930,63695
14737,10299
8084,43473
19540,59796
39256,60848
27386,27425
22467,56366
31905,61724
30882,4189
62955,15559
26457,45719
63755,32752
57656,32268
48280,8338
24212,881
12842,26811
43903,7807
19043,54188
48836,33071
18574,52640
56061,41160
57128,49488
21290,52617
51110,33450
26084,18831
47707,7460
8801,26278
28506,1333
43340,3058
3013,9269
58123,55484
64371,60962
35230,61305
27769,47145
31252,7669
54386,59647
34090,18384
32728,50251
41000,53645
13204,19310
26397,32561
2254,3844
29898,62074
50029,31468
5143,51975
50488,18835
51448,18900
23497,64685
31387,17215
58481,15737
26368,5885
36995,51154
14486,26833
66397,39358
13799,11228
35302,51283
38715,39804
1298,48520
64838,19638
5361,19743
23167,18824
63836,62368
37597,62223
30809,29637
8616,28756
44672,146
35845,23371
66651,13637
17044,34404
65047,17346
9573,44856
14642,1221
25876,54287
27560,42676
55261,60226
34055,57809
33940,58782
35020,20536
56122,23110
19393,8340
32856,41940
22008,46476
17876,47307
57271,51247
55312,56305
21746,35252
60667,11167
56872,37064
57818,48632
23674,57633
31237,51989
22439,15787
6340,57165
63461,7491
38431,16922
38858,51974
47998,60017
24464,43465
60696,50508
10255,40838
49042,57514
48055,48851
55327,54594
53538,3217
25234,24862
29012,29380
59788,26561
57551,65074
59242,54224
45263,29210
62143,17205
14400,41251
40540,45178
29923,44515
29390,57183
46919,23023
53429,38939
11230,42000
38774,59217
21608,55772
65238,32803
18813,3898
11689,16000
67097,36875
15801,14948
62041,62032
11696,58711
25812,35059
24544,18754
24710,45497
25408,37328
46612,6987
15150,61745
